datetime,COL,NG,NUC,OIL,OTH,SUN,WAT,WND,MWh,carbon_footprint,carbon_per_MWh
2018-07-01 08:00:00+00:00,7,7675,2267,87,506,0,2560,3958,17060,3258580.498866213,191.0070632395201
2018-07-01 09:00:00+00:00,9,5879,2261,87,540,0,2584,4087,15447,2519396.825396825,163.09942548047033
2018-07-01 10:00:00+00:00,6,5635,2258,87,515,0,2506,3710,14717,2415664.3990929704,164.14108847543457
2018-07-01 11:00:00+00:00,8,5405,2257,87,566,0,2446,3630,14399,2322766.439909297,161.31442738449178
2018-07-01 12:00:00+00:00,8,5592,2260,87,569,0,2609,3156,14281,2399941.0430839,168.05132995475807
2018-07-01 13:00:00+00:00,8,5282,2260,87,526,244,2705,2666,13778,2272004.535147392,164.90089527851592
2018-07-01 14:00:00+00:00,7,4712,2263,87,531,3362,1918,2085,14965,2035755.1020408163,136.03442045043877
2018-07-01 15:00:00+00:00,8,4187,2263,87,528,7143,1413,1573,17202,1820099.7732426303,105.807451066308
2018-07-01 16:00:00+00:00,9,4121,2263,87,511,8821,1519,1148,18479,1793873.0158730159,97.07630368921565
2018-07-01 17:00:00+00:00,8,4128,2260,87,526,9617,1548,935,19109,1795750.566893424,93.97407331066115
2018-07-01 18:00:00+00:00,8,3941,2258,87,508,10098,1861,1019,19780,1718575.9637188208,86.88452799387365
2018-07-01 19:00:00+00:00,10,4068,2257,87,518,10260,2200,1095,20495,1773011.3378684807,86.5094578125631
2018-07-01 20:00:00+00:00,7,5498,2259,87,524,10257,2271,1090,21993,2360136.0544217685,107.31305662809842
2018-07-01 21:00:00+00:00,9,6789,2260,87,488,10181,2279,1124,23217,2894952.380952381,124.6910617630349
2018-07-01 22:00:00+00:00,8,7871,2261,87,534,9894,2401,1276,24332,3340480.7256235825,137.2875524257596
2018-07-01 23:00:00+00:00,9,9262,2260,87,513,9301,2673,1449,25554,3915555.5555555555,153.2267181480612
2018-07-02 00:00:00+00:00,10,10154,2260,87,516,8358,3118,2171,26674,4284693.87755102,160.6318466503344
2018-07-02 01:00:00+00:00,9,10210,2263,87,531,6331,3987,2903,26321,4306793.650793651,163.6257608295145
2018-07-02 02:00:00+00:00,8,11455,2263,87,536,2559,4728,3460,25096,4819591.8367346935,192.04621599994795
2018-07-02 03:00:00+00:00,8,11789,2265,87,493,424,4612,3922,23600,4957433.106575964,210.06072485491373
2018-07-02 04:00:00+00:00,8,11388,2266,87,480,417,4277,4033,22956,4791941.0430839,208.74460023888741
2018-07-02 05:00:00+00:00,10,9805,2264,87,522,0,3398,4306,20392,4140662.1315192743,203.05326262844616
2018-07-02 06:00:00+00:00,9,8571,2262,85,526,0,3161,4214,18828,3628448.9795918367,192.71558209006994
2018-07-02 07:00:00+00:00,8,7332,2260,85,526,0,2872,4103,17186,3116104.3083900227,181.31643828639722
2018-07-02 08:00:00+00:00,9,6035,2259,87,515,0,2829,4013,15747,2583777.7777777775,164.08063617055805
2018-07-02 09:00:00+00:00,9,5613,2259,85,561,0,2599,3832,14958,2407687.074829932,160.96316852720497
2018-07-02 10:00:00+00:00,9,5249,2259,88,560,0,2542,3869,14576,2260362.811791383,155.07428730731223
2018-07-02 11:00:00+00:00,8,5111,2262,86,570,0,2464,3844,14345,2200467.120181406,153.39610457869682
2018-07-02 12:00:00+00:00,10,5672,2261,85,542,0,2985,3389,14944,2433047.619047619,162.81100234526357
2018-07-02 13:00:00+00:00,8,6911,2263,86,582,237,3170,2975,16232,2943324.2630385486,181.3285031443167
2018-07-02 14:00:00+00:00,8,6412,2262,86,542,3271,2804,2371,17756,2737387.7551020407,154.16691569621764
2018-07-02 15:00:00+00:00,8,5444,2264,85,535,7020,2396,1848,19600,2336929.7052154196,119.23110740894998
2018-07-02 16:00:00+00:00,7,5440,2265,87,529,8722,2279,1706,21035,2336199.5464852606,111.06249329618544
2018-07-02 17:00:00+00:00,9,5407,2264,87,525,9505,2494,1503,21794,2324603.1746031744,106.66252980651439
2018-07-02 18:00:00+00:00,7,5964,2268,87,520,10166,2585,1416,23013,2552453.514739229,110.91354950415977
2018-07-02 19:00:00+00:00,8,6567,2259,87,518,10355,2675,1587,24056,2802321.9954648525,116.49160273798023
2018-07-02 20:00:00+00:00,9,6934,2258,88,521,10343,2818,2110,25081,2955759.6371882083,117.84855616555194
2018-07-02 21:00:00+00:00,8,8015,2260,85,516,10268,2541,2489,26182,3397977.3242630386,129.78295486452672
2018-07-02 22:00:00+00:00,8,8988,2262,87,521,9965,2802,2822,27455,3801464.85260771,138.46165917347332
2018-07-02 23:00:00+00:00,9,9869,2263,87,516,9378,3283,3295,28700,4166063.492063492,145.15900669210774
2018-07-03 00:00:00+00:00,8,10512,2263,86,520,8371,3958,3707,29425,4429451.247165533,150.53360228260095
2018-07-03 01:00:00+00:00,10,11571,2264,86,532,6309,4602,4064,29438,4868521.541950113,165.3822114936515
2018-07-03 02:00:00+00:00,9,13644,2254,86,556,2330,5194,4038,28111,5723034.013605442,203.58699489898765
2018-07-03 03:00:00+00:00,10,13704,2260,87,550,54,5273,3972,25910,5749773.242630385,221.91328609148533
2018-07-03 04:00:00+00:00,10,11921,2261,86,537,49,4691,4140,23695,5012965.986394558,211.56218554102375
2018-07-03 05:00:00+00:00,12,10534,2261,86,538,0,3818,4467,21716,4442575.96371882,204.57616336889024
2018-07-03 06:00:00+00:00,11,8710,2257,85,594,0,3553,4449,19659,3687836.7346938774,187.59025050581806
2018-07-03 07:00:00+00:00,11,7238,2256,85,551,0,3302,4422,17865,3080344.671201814,172.42343527578024
