datetime,COL,NG,NUC,OIL,OTH,SUN,WAT,MWh,carbon_footprint,carbon_per_MWh
2018-07-01 05:00:00+00:00,6549,7363,11616,0,1367,0,-356,26539,9661950.113378685,364.0660956847916
2018-07-01 06:00:00+00:00,5984,7072,11614,0,1365,-1,-1063,24971,8970448.979591837,359.2346714025004
2018-07-01 07:00:00+00:00,5606,7090,11616,0,1328,0,-1751,23889,8595591.836734693,359.81379868285376
2018-07-01 08:00:00+00:00,5278,6877,11614,0,1285,-1,-2005,23048,8175968.253968256,354.73656082819576
2018-07-01 09:00:00+00:00,4955,6604,11614,0,1281,0,-1961,22493,7736639.455782313,343.95765152635545
2018-07-01 10:00:00+00:00,4700,6572,11621,0,1282,6,-1974,22207,7465541.950113378,336.1796708296203
2018-07-01 11:00:00+00:00,4604,6363,11613,0,1221,23,-1923,21901,7282199.54648526,332.50534434433405
2018-07-01 12:00:00+00:00,4581,6785,11613,0,1242,377,-1727,22871,7433097.505668934,325.0009840264498
2018-07-01 13:00:00+00:00,4682,7116,11611,-1,1365,957,-722,25008,7670879.818594104,306.7370368919587
2018-07-01 14:00:00+00:00,5417,7188,11610,0,1409,1296,140,27060,8444893.42403628,312.0803187005277
2018-07-01 15:00:00+00:00,7245,7259,11611,-4,1415,1585,270,29381,10319056.689342404,351.21529864001917
2018-07-01 16:00:00+00:00,8117,7732,11608,-1,1416,1762,314,30948,11399047.619047618,368.32905580482156
2018-07-01 17:00:00+00:00,9078,8366,11604,-2,1414,1802,670,32932,12631628.117913831,383.5669900981972
2018-07-01 18:00:00+00:00,9646,8981,11595,-1,1410,1827,1272,34730,13460843.537414964,387.5854747312112
2018-07-01 19:00:00+00:00,9562,9327,11589,0,1412,1868,2253,36011,13519650.793650791,375.43114030853883
2018-07-01 20:00:00+00:00,9749,9550,11590,0,1413,1689,2554,36545,13800802.721088436,377.63860230095594
2018-07-01 21:00:00+00:00,10015,9665,11585,0,1412,1482,2976,37135,14117278.911564626,380.1610047546688
2018-07-01 22:00:00+00:00,10319,9668,11580,0,1412,1219,3274,37472,14425963.71882086,384.97981743223903
2018-07-01 23:00:00+00:00,10577,9685,11584,0,1411,734,3020,37011,14693904.76190476,397.014529785868
2018-07-02 00:00:00+00:00,10609,9740,11578,0,1412,221,2434,35994,14748965.986394558,409.7617932542801
2018-07-02 01:00:00+00:00,10550,9378,11580,0,1447,9,1608,34572,14539900.22675737,420.56867484546365
2018-07-02 02:00:00+00:00,10589,8833,11389,0,1447,2,1141,33401,14354421.768707482,429.7602397744823
2018-07-02 03:00:00+00:00,9720,8392,11352,0,1444,2,342,31252,13293569.160997732,425.36698966458886
2018-07-02 04:00:00+00:00,7665,8244,11369,0,1461,-1,190,28928,11154190.476190476,385.5845712178677
2018-07-02 05:00:00+00:00,6475,8121,11374,-5,1447,0,-472,26940,9895106.575963719,367.30165463859385
2018-07-02 06:00:00+00:00,5950,8075,11389,0,1475,0,-1303,25586,9350000.0,365.4342218400688
