datetime,COL,NG,NUC,OIL,OTH,SUN,WAT,MWh,carbon_footprint,carbon_per_MWh
2018-07-02 05:00:00+00:00,2749,18166,3778,0,1017,0,32,25742,10277247.16553288,399.2404306399223
2018-07-02 06:00:00+00:00,2427,16553,3785,0,983,0,31,23779,9285913.832199547,390.5090135076979
2018-07-02 07:00:00+00:00,2264,15327,3778,0,966,0,32,22367,8615097.505668934,385.1700051714103
2018-07-02 08:00:00+00:00,2216,14561,3784,0,964,0,31,21556,8250426.303854877,382.7438441201929
2018-07-02 09:00:00+00:00,2213,14400,3782,0,981,0,32,21408,8180947.845804987,382.14442478536
2018-07-02 10:00:00+00:00,2260,15084,3783,0,1020,0,31,22178,8510766.439909296,383.7481486116555
2018-07-02 11:00:00+00:00,2351,16068,3782,0,1066,4,32,23303,9008893.424036281,386.59800987153073
2018-07-02 12:00:00+00:00,2491,17713,3781,0,1355,73,31,25444,9829369.614512473,386.31385059395035
2018-07-02 13:00:00+00:00,2936,19922,3783,0,1441,238,32,28352,11191065.759637188,394.71874152219203
2018-07-02 14:00:00+00:00,3429,22855,3782,0,1536,486,31,32119,12900099.77324263,401.63453947017746
2018-07-02 15:00:00+00:00,3960,24862,3777,0,1566,684,32,34881,14265405.895691609,408.97353561227055
2018-07-02 16:00:00+00:00,4369,27138,3775,0,1581,817,31,37711,15618344.671201818,414.1588573944424
2018-07-02 17:00:00+00:00,4402,29402,3774,0,1579,864,31,40052,16586068.027210884,414.11335332095484
2018-07-02 18:00:00+00:00,4400,30693,3772,124,1592,838,31,41450,17236621.315192748,415.8412862531423
2018-07-02 19:00:00+00:00,4417,31546,3770,185,1637,830,32,42417,17664770.975056693,416.4549820839921
2018-07-02 20:00:00+00:00,4426,31785,3755,302,1688,849,31,42836,17885528.344671205,417.53497863178643
2018-07-02 21:00:00+00:00,4436,31722,3762,302,1712,714,31,42679,17869641.723356012,418.69869779882407
2018-07-02 22:00:00+00:00,4450,31140,3758,242,1717,555,36,41898,17585650.793650795,419.7253041589287
2018-07-02 23:00:00+00:00,4434,29726,3756,72,1675,250,30,39943,16821696.145124715,421.14253173584143
2018-07-03 00:00:00+00:00,4263,28781,3755,0,1649,73,29,38550,16189206.349206349,419.9534720935499
