datetime,COL,NG,NUC,OIL,OTH,SUN,WAT,WND,MWh,carbon_footprint,carbon_per_MWh
2018-09-12 21:00:00+00:00,1706,48097,33881,174,919,329,538,625,86269,21742979.591836736,252.03699581352208
2018-09-12 22:00:00+00:00,1725,46580,33835,173,885,180,488,802,84668,21135165.53287982,249.62400827797774
2018-09-12 23:00:00+00:00,1716,45235,33830,174,854,55,476,860,83200,20571950.113378685,247.2590157858015
2018-09-13 00:00:00+00:00,1722,41957,33884,173,807,1,536,729,79809,19224226.757369615,240.87793052625162
2018-09-13 01:00:00+00:00,1727,39354,33917,177,791,1,746,894,77607,18158893.42403628,233.98525164013915
2018-09-13 02:00:00+00:00,1705,37609,33930,177,772,1,767,616,75577,17416485.260770977,230.44689866984635
2018-09-13 03:00:00+00:00,1711,34378,33939,178,782,1,961,940,72890,16090090.702947846,220.7448306070496
2018-09-13 04:00:00+00:00,1728,32558,33928,181,766,1,959,633,70754,15359070.29478458,217.0770598804955
2018-09-13 05:00:00+00:00,1463,31498,33947,183,784,1,931,866,69673,14655537.414965985,210.34744327021923
2018-09-13 06:00:00+00:00,1318,30352,33988,183,770,1,942,809,68363,14035941.0430839,205.31487856126708
2018-09-13 07:00:00+00:00,1179,29777,33996,184,780,1,1325,728,67970,13659029.478458047,200.9567379499492
2018-09-13 08:00:00+00:00,870,29780,34041,189,778,1,3161,691,69511,13352594.104308387,192.09325292843417
2018-09-13 09:00:00+00:00,822,30468,34055,188,768,1,4895,763,71960,13587020.408163264,188.81351317625436
2018-09-13 10:00:00+00:00,1150,31663,34063,190,790,6,5094,775,73731,14413845.804988664,195.4923411453617
2018-09-13 11:00:00+00:00,1428,33296,34090,189,813,138,5548,731,76233,15367968.253968254,201.59206975939887
2018-09-13 12:00:00+00:00,1671,35724,34054,186,860,365,5910,663,79433,16612857.142857142,209.1430154074143
2018-09-13 13:00:00+00:00,1715,39257,34026,185,910,489,5780,214,82576,18114453.51473923,219.36704992660373
2018-09-13 14:00:00+00:00,1740,44459,33947,185,844,604,5395,367,87541,20286594.10430839,231.73820386228613
2018-09-13 15:00:00+00:00,1730,49144,33883,183,885,710,4224,178,90937,22208040.81632653,244.21347544263094
2018-09-13 16:00:00+00:00,1723,53515,33838,230,900,694,1996,441,93337,24050267.573696148,257.6713154879217
2018-09-13 17:00:00+00:00,1739,55909,33784,297,885,741,1311,527,95193,25119170.068027213,263.8762311097162
2018-09-13 18:00:00+00:00,1732,56199,33799,284,873,698,785,1197,95567,25219215.419501133,263.8904163518906
2018-09-13 19:00:00+00:00,1737,55948,33778,280,914,672,715,1204,95248,25116820.861678008,263.6991943314086
2018-09-13 20:00:00+00:00,1720,55715,33743,214,907,556,686,1194,94735,24939714.285714284,263.2576585814565
2018-09-13 21:00:00+00:00,1745,56054,33711,208,901,527,666,1133,94945,25099106.575963717,264.3541690027249
2018-09-13 22:00:00+00:00,1742,54500,33681,207,847,323,603,914,92817,24453773.24263039,263.4622239743839
2018-09-13 23:00:00+00:00,1729,52969,33668,172,788,136,573,895,90930,23774975.05668934,261.4645887681661
2018-09-14 00:00:00+00:00,1748,48133,33693,172,760,1,540,1073,86120,21798380.95238095,253.1163603388406
2018-09-14 01:00:00+00:00,1742,45852,33740,176,807,1,587,1088,83993,20854811.791383214,248.29225996670215
2018-09-14 02:00:00+00:00,1732,40751,33758,178,770,1,786,1245,79221,18741455.782312926,236.57181533069422
2018-09-14 03:00:00+00:00,1722,36082,33799,179,772,1,897,1528,74980,16805419.501133785,224.13202855606542
2018-09-14 04:00:00+00:00,1436,34050,33090,181,777,1,915,1494,71944,15679505.66893424,217.94042128508616
2018-09-14 05:00:00+00:00,1064,32322,33028,181,791,1,998,1630,70015,14590145.124716552,208.38599049798688
2018-09-14 06:00:00+00:00,856,31055,33023,184,784,1,1392,2083,69378,13859795.918367347,199.77220326857716
2018-09-14 07:00:00+00:00,783,31315,33023,188,787,1,3460,2215,71772,13897133.786848072,193.62890523948158
2018-09-14 08:00:00+00:00,775,30718,33091,191,788,1,5557,2222,73343,13645560.09070295,186.0512944753139
2018-09-14 09:00:00+00:00,791,31082,33123,188,785,1,5610,2529,74109,13809065.759637188,186.33453102372437
2018-09-14 10:00:00+00:00,1043,31648,33271,186,739,11,6250,2664,75812,14295578.231292516,188.56616671889037
2018-09-14 11:00:00+00:00,1461,33880,33299,185,839,202,6210,3032,79108,15638494.331065763,197.6853710252536
2018-09-14 12:00:00+00:00,1722,35345,33344,186,853,379,6405,3009,81243,16508022.67573696,203.193169574449
2018-09-14 13:00:00+00:00,1751,36708,33416,185,872,481,5858,3396,82667,17098893.424036283,206.8406186753636
2018-09-14 14:00:00+00:00,1757,37688,33508,185,878,540,6291,3038,83885,17509405.895691615,208.73107105789612
2018-09-14 15:00:00+00:00,1750,38432,33585,182,890,567,3678,2874,81958,17806476.190476194,217.26342993333407
2018-09-14 16:00:00+00:00,1743,39094,33572,236,912,512,3007,2303,81379,18124766.439909298,222.72043696665352
2018-09-14 17:00:00+00:00,1750,39820,33574,234,875,459,2117,1921,80750,18429532.879818592,228.22950934759868
2018-09-14 18:00:00+00:00,1752,40127,33564,179,891,572,1473,2046,80604,18505124.716553286,229.58072448703894
2018-09-14 19:00:00+00:00,1751,40152,33526,176,858,420,1040,2207,80130,18511532.879818592,231.01875552001238
2018-09-14 20:00:00+00:00,1742,40205,33537,175,835,398,575,2284,79751,18523337.868480727,232.26464707001452
2018-09-14 21:00:00+00:00,1753,40053,33568,174,795,203,519,2569,79634,18470766.4399093,231.94573222379012
2018-09-14 22:00:00+00:00,1757,39445,33582,172,815,74,435,2445,78725,18221959.18367347,231.4634383445344
2018-09-14 23:00:00+00:00,1764,37995,33595,171,793,21,436,2286,77061,17629659.86394558,228.77538396783822
2018-09-15 00:00:00+00:00,1754,35533,33599,172,799,1,437,1979,74274,16604448.979591839,223.5566817404723
2018-09-15 01:00:00+00:00,1752,35060,33521,173,785,1,514,2134,73940,16408185.941043083,221.91217123401518
2018-09-15 02:00:00+00:00,1750,32229,33459,176,764,1,645,2637,71661,15240712.01814059,212.67791432076848
2018-09-15 03:00:00+00:00,1752,28345,33657,179,718,1,656,2925,68233,13642712.01814059,199.94301903976947
2018-09-15 04:00:00+00:00,1717,23490,33748,180,722,1,739,2981,63578,11604630.38548753,182.5258797931286
2018-09-15 05:00:00+00:00,1191,21499,33909,182,695,1,810,2878,61165,10252916.099773243,167.62717403373242
2018-09-15 06:00:00+00:00,760,21299,34090,182,695,1,1441,2965,61433,9734489.795918368,158.45701489294626
2018-09-15 07:00:00+00:00,767,19784,34169,185,697,1,3282,2977,61862,9119229.02494331,147.41245069579566
2018-09-15 08:00:00+00:00,760,17971,34407,186,691,1,4585,3131,61732,8364893.424036281,135.50336007315948
2018-09-15 09:00:00+00:00,757,17800,34535,189,686,1,5780,3084,62832,8294185.941043084,132.005760457141
2018-09-15 10:00:00+00:00,765,17608,34600,188,651,3,5934,3177,62926,8222072.562358276,130.66256495499914
2018-09-15 11:00:00+00:00,758,19062,34615,187,659,101,5992,2886,64260,8814090.702947848,137.16294277852236
2018-09-15 12:00:00+00:00,756,22815,34558,186,685,355,5872,2149,67376,10359959.183673471,153.76334575625552
2018-09-15 13:00:00+00:00,760,24744,34569,185,698,406,5761,1450,68573,11159133.786848072,162.73363841232077
2018-09-15 14:00:00+00:00,759,27432,34567,184,700,513,5760,1125,71040,12266489.795918368,172.67018293804009
2018-09-15 15:00:00+00:00,757,29755,34555,183,715,583,3492,793,70833,13222199.54648526,186.66722497261532
2018-09-15 16:00:00+00:00,760,28650,34522,180,739,640,2443,728,68662,12766303.854875283,185.92968242805748
2018-09-15 17:00:00+00:00,764,28658,34492,180,697,648,1420,656,67515,12773650.793650795,189.19722718878464
2018-09-15 18:00:00+00:00,770,29457,34484,179,745,671,731,539,67576,13108498.866213152,193.9815743194796
2018-09-15 19:00:00+00:00,766,30646,34450,176,734,591,706,533,68602,13592253.96825397,198.13203650409565
2018-09-15 20:00:00+00:00,766,32076,34427,176,774,472,470,520,69681,14182412.698412698,203.53342659279716
2018-09-15 21:00:00+00:00,765,32591,34421,173,745,372,434,542,70043,14391043.083900228,205.4601185543199
2018-09-15 22:00:00+00:00,766,32778,34416,172,785,328,402,593,70240,14468263.038548753,205.98324371510182
