datetime,COL,NG,NUC,OIL,OTH,SUN,WAT,WND,MWh,carbon_footprint,carbon_per_MWh
2018-07-01 05:00:00+00:00,240,7049,4002,0,918,0,448,421,13078,3151832.199546485,241.00261504408053
2018-07-01 06:00:00+00:00,241,6367,4024,0,894,0,432,424,12382,2871383.2199546485,231.89979162935296
2018-07-01 07:00:00+00:00,239,6336,3981,0,863,0,423,412,12254,2856566.893424036,233.11301562135108
2018-07-01 08:00:00+00:00,240,6193,3998,0,864,0,424,342,12061,2798562.358276644,232.03402356990662
2018-07-01 09:00:00+00:00,242,5916,4017,0,864,0,425,283,11747,2686267.573696145,228.67690250243848
2018-07-01 10:00:00+00:00,246,5726,4015,0,856,1,435,214,11493,2611900.2267573695,227.26009107781863
2018-07-01 11:00:00+00:00,246,5491,3985,14,850,7,487,265,11345,2528439.9092970523,222.8682158922038
2018-07-01 12:00:00+00:00,246,6075,3935,3,839,19,504,270,11891,2758829.931972789,232.00991775063403
2018-07-01 13:00:00+00:00,247,7088,3949,0,838,34,552,213,12921,3175006.8027210883,245.72454165475492
2018-07-01 14:00:00+00:00,248,8740,3946,0,851,50,512,132,14479,3857795.9183673467,266.44077065870204
2018-07-01 15:00:00+00:00,260,10331,3900,0,857,68,557,84,16057,4526535.14739229,281.9041631308644
2018-07-01 16:00:00+00:00,378,11224,3738,0,894,84,1064,69,17451,5014412.698412699,287.34242727710154
2018-07-01 17:00:00+00:00,438,11865,3825,0,907,82,1012,61,18190,5339632.653061224,293.5476994536132
2018-07-01 18:00:00+00:00,451,12261,3884,4,925,86,862,37,18510,5520072.562358277,298.2211000733807
2018-07-01 19:00:00+00:00,453,12535,3908,17,934,82,1212,30,19171,5647732.426303855,294.59769580636663
2018-07-01 20:00:00+00:00,443,12604,3927,32,947,71,1647,28,19699,5680585.034013606,288.3692082853752
2018-07-01 21:00:00+00:00,488,12834,3953,54,950,59,1741,26,20105,5842267.573696145,290.5877927727503
2018-07-01 22:00:00+00:00,451,12904,3956,70,952,33,1986,25,20377,5849192.743764172,287.04876791304764
2018-07-01 23:00:00+00:00,483,13055,3981,65,959,17,1837,31,20428,5939043.083900226,290.7305210446557
2018-07-02 00:00:00+00:00,421,12995,3986,27,967,4,1557,57,20014,5814870.748299319,290.54015930345355
2018-07-02 01:00:00+00:00,456,12925,3966,27,962,0,869,105,19310,5821378.684807256,301.4696367067455
2018-07-02 02:00:00+00:00,414,12543,3992,27,965,0,696,180,18817,5621251.700680272,298.7326194760202
2018-07-02 03:00:00+00:00,334,10749,3919,21,937,0,560,248,16768,4794167.800453515,285.9117247407869
2018-07-02 04:00:00+00:00,323,9037,3923,20,932,0,450,284,14969,4075537.4149659863,272.26517569416706
2018-07-02 05:00:00+00:00,438,7977,3985,20,956,0,421,290,14087,3754380.9523809524,266.51387466323223
2018-07-02 06:00:00+00:00,405,7839,3974,18,928,0,414,282,13860,3662122.448979592,264.22239891627646
2018-07-02 07:00:00+00:00,358,7592,4007,0,925,0,417,251,13550,3495265.3061224488,257.95315912342795
2018-07-02 08:00:00+00:00,370,7258,4002,2,934,0,416,254,13236,3371492.0634920634,254.72137076851493
