datetime,COL,NG,NUC,OIL,OTH,SUN,WAT,WND,MWh,carbon_footprint,carbon_per_MWh
2018-07-01 17:00:00+00:00,0,12968,5288,383,1026,0,2544,11,22220,5721845.804988662,257.5088121057004
2018-07-01 18:00:00+00:00,0,13958,5286,384,1056,0,2486,3,23173,6131383.219954648,264.591689464232
2018-07-01 19:00:00+00:00,0,14391,5292,387,1064,0,2354,0,23488,6312979.591836735,268.77467608296723
2018-07-01 20:00:00+00:00,0,14919,5296,425,1061,0,2276,13,23990,6567591.8367346935,273.76372808398054
2018-07-01 21:00:00+00:00,0,15121,5297,448,1053,0,2249,18,24186,6673174.603174603,275.91063438247755
2018-07-01 22:00:00+00:00,0,15220,5306,479,1026,0,2240,29,24300,6743977.324263038,277.5299310396312
2018-07-01 23:00:00+00:00,0,15127,5325,615,1037,0,2446,32,24582,6836970.52154195,278.1291400838805
2018-07-02 00:00:00+00:00,0,14872,5331,621,1042,0,2817,37,24720,6737528.344671202,272.55373562585766
2018-07-02 01:00:00+00:00,0,14508,5318,522,1039,0,3247,62,24696,6491673.469387755,262.86335719905065
2018-07-02 02:00:00+00:00,0,13790,5315,398,1039,0,3308,127,23977,6075573.696145125,253.39173775472847
2018-07-02 03:00:00+00:00,0,12209,5318,342,1036,0,3617,184,22706,5369002.267573696,236.45742392203363
2018-07-02 04:00:00+00:00,0,10500,5281,0,1300,0,3708,244,21033,4333333.333333333,206.02545206738617
2018-07-02 05:00:00+00:00,0,9635,5258,0,1277,0,3767,369,20306,3976349.206349206,195.8213930044916
2018-07-02 06:00:00+00:00,0,8449,5195,0,1232,0,3874,439,19189,3486888.888888889,181.71290264677103
2018-07-02 07:00:00+00:00,0,7793,5201,0,1184,0,3912,469,18559,3216158.73015873,173.2937512882553
2018-07-02 08:00:00+00:00,0,7562,5145,0,1069,0,4441,464,18681,3120825.396825397,167.05879753896457
2018-07-02 09:00:00+00:00,0,7478,5155,0,1011,0,4620,499,18763,3086158.73015873,164.48109205131001
2018-07-02 10:00:00+00:00,0,7787,5183,0,1055,0,4544,564,19133,3213682.5396825396,167.96542830097422
2018-07-02 11:00:00+00:00,0,8894,5269,0,964,0,4172,481,19780,3670539.6825396824,185.5682347087807
2018-07-02 12:00:00+00:00,0,10099,5278,0,1050,0,3887,353,20667,4167841.2698412696,201.6664861780263
2018-07-02 13:00:00+00:00,0,11244,5306,0,1068,0,3637,222,21477,4640380.952380952,216.06280916240408
2018-07-02 14:00:00+00:00,0,12844,5312,0,1255,0,3730,172,23313,5300698.412698412,227.3709266374303
2018-07-02 15:00:00+00:00,0,14070,5329,539,943,0,3272,213,24366,6327333.333333333,259.6787873813237
2018-07-02 16:00:00+00:00,0,14963,5327,541,959,0,3154,284,25228,6697804.988662131,265.49092233479195
2018-07-02 17:00:00+00:00,0,15542,5312,550,989,0,2784,260,25437,6945451.247165533,273.0452194506244
2018-07-02 18:00:00+00:00,0,16351,5296,589,959,0,2321,233,25749,7316997.732426303,284.16628732868475
2018-07-02 19:00:00+00:00,0,16418,5296,609,906,0,2315,238,25782,7363968.253968254,285.6243989592838
2018-07-02 20:00:00+00:00,0,16201,5295,655,834,0,2354,455,25794,7318848.072562358,283.74226845632154
2018-07-02 21:00:00+00:00,0,16339,5291,759,864,0,2308,451,26012,7476263.038548753,287.4159249019204
2018-07-02 22:00:00+00:00,0,16081,5296,807,856,0,2406,530,25976,7416154.195011337,285.50023848981124
