datetime,COL,NG,NUC,OIL,OTH,SUN,WAT,WND,MWh,carbon_footprint,carbon_per_MWh
2018-07-01 08:00:00+00:00,8689,6222,1146,60,734,-1,16187,4971,38008,11413283.446712017,300.2863462090091
2018-07-01 09:00:00+00:00,8655,6055,1148,59,748,0,15228,4442,36335,11309011.33786848,311.2429155874083
2018-07-01 10:00:00+00:00,8508,5798,1150,59,754,0,15112,3856,35237,11054281.179138321,313.71232452076856
2018-07-01 11:00:00+00:00,8387,5749,1152,58,774,0,15142,3625,34887,10910721.088435374,312.74460654213243
2018-07-01 12:00:00+00:00,8362,5615,1154,59,783,0,15138,3445,34556,10831102.040816324,313.4362206510107
2018-07-01 13:00:00+00:00,8684,5479,1155,60,787,113,14864,3558,34700,11101591.836734693,319.93060048226783
2018-07-01 14:00:00+00:00,8419,5488,1155,59,777,927,14846,3587,35258,10836335.600907028,307.3440240770046
2018-07-01 15:00:00+00:00,8108,5355,1151,58,777,1739,15622,3936,36746,10465954.648526076,284.81888228721704
2018-07-01 16:00:00+00:00,7663,5386,1015,58,763,1971,16704,4628,38188,10028702.947845805,262.61398732182374
2018-07-01 17:00:00+00:00,7921,6027,867,58,708,2034,17805,4868,40288,10554167.800453514,261.96802522968414
2018-07-01 18:00:00+00:00,8364,6696,813,56,664,2054,18239,5290,42176,11276353.741496598,267.36422945505973
2018-07-01 19:00:00+00:00,8356,7458,794,55,650,2062,18468,5367,43210,11581773.242630387,268.03455780213807
2018-07-01 20:00:00+00:00,8805,7871,832,51,675,2093,18003,5844,44174,12202444.444444446,276.23589542365295
2018-07-01 21:00:00+00:00,9296,8215,893,51,668,2093,17754,6387,45357,12840979.591836734,283.1091031557805
2018-07-01 22:00:00+00:00,9957,8308,930,52,680,2048,17575,6557,46107,13548820.861678002,293.85604922632143
2018-07-01 23:00:00+00:00,10736,9146,968,53,659,1955,17502,6735,47754,14683460.317460317,307.4812647623302
2018-07-02 00:00:00+00:00,10999,9527,986,53,658,1898,17643,7028,48792,15106680.272108842,309.61387670332925
2018-07-02 01:00:00+00:00,10902,9481,991,55,655,1715,18718,6997,49514,14991528.344671201,302.77352556188555
2018-07-02 02:00:00+00:00,11229,9428,996,56,657,1076,18997,7254,49693,15301328.798185937,307.91718749493765
2018-07-02 03:00:00+00:00,11083,9236,1024,57,659,252,18706,7327,48344,15075401.36054422,311.8360367479774
