datetime,COL,NG,NUC,OIL,OTH,SUN,WAT,WND,MWh,carbon_footprint,carbon_per_MWh
2018-07-01 08:00:00+00:00,1529,3336,2588,0,37,36,454,331,8311,2923097.505668934,351.7142949908475
2018-07-01 09:00:00+00:00,1404,3295,2591,0,34,24,325,334,8007,2779759.6371882088,347.1661842373184
2018-07-01 10:00:00+00:00,1430,3206,2591,0,37,13,294,419,7990,2769324.2630385486,346.5987813565142
2018-07-01 11:00:00+00:00,1413,3113,2594,0,34,13,281,375,7823,2713750.566893424,346.8938472316789
2018-07-01 12:00:00+00:00,1361,3106,2597,0,36,12,280,448,7840,2658272.1088435375,339.06532000555325
2018-07-01 13:00:00+00:00,1336,2873,2598,0,35,34,274,346,7496,2536829.931972789,338.42448398783205
2018-07-01 14:00:00+00:00,1329,2440,2601,0,33,251,250,328,7232,2351052.154195011,325.09017618846946
2018-07-01 15:00:00+00:00,1318,2063,2598,0,36,648,277,319,7259,2184340.136054422,300.9147452892164
2018-07-01 16:00:00+00:00,1326,2007,2598,0,34,777,297,267,7306,2169319.7278911564,296.92303967850484
2018-07-01 17:00:00+00:00,1333,2186,2596,0,35,804,313,182,7449,2250272.1088435375,302.0904965557172
2018-07-01 18:00:00+00:00,1333,2521,2594,0,34,815,370,121,7788,2388526.077097506,306.6931275163721
2018-07-01 19:00:00+00:00,1332,2815,2640,0,35,823,440,58,8143,2508848.0725623583,308.09874402092083
2018-07-01 20:00:00+00:00,1425,3229,2685,0,32,821,529,25,8746,2773759.6371882088,317.1460824592052
2018-07-01 21:00:00+00:00,1468,3503,2694,0,35,818,595,15,9128,2930326.5306122447,321.0261317498077
2018-07-01 22:00:00+00:00,1511,3945,2692,0,33,810,617,6,9614,3156226.757369614,328.2948572258804
2018-07-01 23:00:00+00:00,1492,4400,2692,0,35,796,780,5,10200,3324789.1156462585,325.9597172202214
2018-07-02 00:00:00+00:00,1507,4778,2701,0,32,768,829,18,10633,3495959.1836734693,328.78389764633397
2018-07-02 01:00:00+00:00,1508,4956,2761,0,34,680,1008,26,10973,3570430.8390022675,325.38328980244853
2018-07-02 02:00:00+00:00,1490,5231,2771,0,19,454,1231,106,11302,3665718.820861678,324.34248990105095
2018-07-02 03:00:00+00:00,1526,5112,2774,0,7,303,1229,150,11101,3653015.8730158727,329.0708830750268
2018-07-02 04:00:00+00:00,1526,5047,2774,0,5,291,1137,179,10959,3626190.476190476,330.88698569125614
2018-07-02 05:00:00+00:00,1476,4794,2778,0,8,282,872,212,10422,3471210.8843537415,333.0657152517503
2018-07-02 06:00:00+00:00,1419,4164,2773,0,5,266,747,257,9631,3153564.62585034,327.43896021704285
2018-07-02 07:00:00+00:00,1388,3651,2778,0,9,253,580,313,8972,2910498.8662131517,324.3980011383361
2018-07-02 08:00:00+00:00,1373,3304,2775,0,6,216,499,276,8449,2752122.448979592,325.73351272098375
2018-07-02 09:00:00+00:00,1368,3146,2803,0,8,16,397,198,7936,2681859.410430839,337.9359136127569
2018-07-02 10:00:00+00:00,1373,3005,2862,0,7,6,353,156,7762,2628725.6235827664,338.6660169521729
2018-07-02 11:00:00+00:00,1366,2864,2903,0,8,10,341,127,7619,2563455.782312925,336.4556742765356
2018-07-02 12:00:00+00:00,1358,2901,2910,0,6,16,341,76,7608,2570634.9206349207,337.88576769649325
2018-07-02 13:00:00+00:00,1368,2871,2913,0,8,38,345,41,7584,2568367.3469387754,338.65603203306637
2018-07-02 14:00:00+00:00,1335,2697,2914,0,5,211,287,34,7483,2463183.6734693875,329.1706098449001
2018-07-02 15:00:00+00:00,1314,2682,2915,0,8,606,289,12,7826,2435755.102040816,311.23883235890827
2018-07-02 16:00:00+00:00,1279,2872,2904,0,4,750,329,16,8154,2478770.975056689,303.99447817717555
2018-07-02 17:00:00+00:00,1285,2831,2897,0,7,762,336,12,8130,2467918.3673469387,303.556994753621
2018-07-02 18:00:00+00:00,1311,2905,2892,0,6,778,372,4,8268,2524752.83446712,305.3643970086018
2018-07-02 19:00:00+00:00,1390,3111,2897,0,6,796,457,13,8670,2689664.3990929704,310.22657428984667
2018-07-02 20:00:00+00:00,1460,3695,2853,0,5,766,638,97,9514,3001473.922902494,315.4797060019439
2018-07-02 21:00:00+00:00,1486,4167,2603,0,7,808,808,223,10102,3222562.358276644,319.0024112330869
2018-07-02 22:00:00+00:00,1564,4534,2317,0,6,792,786,195,10194,3452907.0294784578,338.71954379816145
2018-07-02 23:00:00+00:00,1586,4811,2154,0,7,761,1017,219,10555,3589473.922902494,340.0733228709137
2018-07-03 00:00:00+00:00,1689,4970,2239,0,5,701,1093,196,10893,3759260.7709750566,345.1079382149139
2018-07-03 01:00:00+00:00,1711,4975,2308,0,6,605,1272,128,11005,3783573.6961451247,343.8049701176851
2018-07-03 02:00:00+00:00,1710,4890,2448,0,6,449,1391,179,11073,3747482.9931972786,338.43429903343974
2018-07-03 03:00:00+00:00,1806,5056,2584,0,7,301,1354,201,11309,3913079.3650793647,346.0146224316354
2018-07-03 04:00:00+00:00,1874,4908,2685,0,5,285,1249,241,11247,3920770.975056689,348.60593714383293
2018-07-03 05:00:00+00:00,1922,4355,2698,0,6,281,1101,294,10657,3741092.970521542,351.0456010623573
2018-07-03 06:00:00+00:00,2082,3926,2701,0,7,270,920,305,10211,3725859.410430839,364.8868289521926
2018-07-03 07:00:00+00:00,2140,3267,2689,0,8,266,565,189,9124,3512548.752834467,384.9790391094331
2018-07-03 08:00:00+00:00,2140,2835,2693,0,7,259,453,195,8582,3334263.0385487527,388.518182072798
2018-07-03 09:00:00+00:00,2152,2627,2704,0,8,41,364,149,8045,3260557.8231292516,405.2899717997827
2018-07-03 10:00:00+00:00,2126,2487,2709,0,6,26,333,74,7761,3176485.260770975,409.28814080285724
2018-07-03 11:00:00+00:00,2147,2381,2712,0,7,27,264,60,7598,3153977.3242630386,415.1062548385152
2018-07-03 12:00:00+00:00,2209,2381,2704,0,8,36,271,97,7706,3216680.2721088436,417.4254181298785
2018-07-03 13:00:00+00:00,2236,2450,2674,0,7,45,294,176,7882,3272462.5850340137,415.18175400076296
2018-07-03 14:00:00+00:00,2208,2379,2722,0,9,202,524,128,8172,3214843.5374149657,393.39739811734773
2018-07-03 15:00:00+00:00,2078,2120,2752,0,5,591,453,83,8082,2976480.7256235825,368.2851677336776
2018-07-03 16:00:00+00:00,2177,2113,2780,0,5,751,395,98,8319,3073714.2857142854,369.4812219875328
