datetime,COL,NG,NUC,OIL,OTH,SUN,WAT,WND,MWh,carbon_footprint,carbon_per_MWh
2018-07-22 23:00:00+00:00,5016,6227,7811,0,25,51,169,0,19299,7642743.764172335,396.01760527345124
2018-07-23 00:00:00+00:00,4997,6268,7894,0,20,54,147,0,19380,7640448.979591836,394.2440133948316
2018-07-23 01:00:00+00:00,5015,6130,7903,0,22,9,225,0,19304,7601700.680272109,393.7888872913442
2018-07-23 02:00:00+00:00,5012,6360,7913,0,25,0,186,0,19496,7693587.301587301,394.62388703258625
2018-07-23 03:00:00+00:00,5008,5844,7918,0,20,-2,83,0,18871,7476589.569160999,396.19466743474106
2018-07-23 04:00:00+00:00,5005,4593,7941,0,22,-1,696,0,18256,6957269.8412698405,381.09497377683175
2018-07-23 05:00:00+00:00,4801,3929,7929,0,23,0,1224,0,17906,6476925.1700680265,361.71814866905095
2018-07-23 06:00:00+00:00,4295,4118,7932,0,22,0,1345,0,17712,6043188.20861678,341.19174619561767
2018-07-23 07:00:00+00:00,4046,3918,7928,0,20,0,1383,0,17295,5708825.396825396,330.0853077088983
2018-07-23 08:00:00+00:00,3798,3753,7923,0,22,0,1647,0,17143,5389918.367346938,314.40928468453234
2018-07-23 09:00:00+00:00,3787,3814,7943,0,22,0,2068,0,17634,5403968.253968254,306.45164193990325
2018-07-23 10:00:00+00:00,3809,4225,7945,0,23,0,3033,0,19035,5595836.734693877,293.9761877958433
2018-07-23 11:00:00+00:00,3927,4753,7936,0,19,0,3553,0,20188,5933079.365079364,293.8913891955302
2018-07-23 12:00:00+00:00,4022,5013,7938,0,26,5,3729,0,20733,6136458.049886622,295.97540393993256
2018-07-23 13:00:00+00:00,4171,5528,7943,0,16,26,3897,0,21581,6499687.074829932,301.1763623015584
2018-07-23 14:00:00+00:00,4454,5747,7932,0,23,43,3884,0,22083,6876276.643990929,311.38326513566676
2018-07-23 15:00:00+00:00,4613,6224,7924,0,19,71,3968,0,22819,7233936.507936507,317.0137388990099
2018-07-23 16:00:00+00:00,4849,7033,7944,0,23,52,4220,0,24121,7806485.260770977,323.63854155180036
2018-07-23 17:00:00+00:00,4947,7506,7910,0,17,64,3838,0,24282,8100802.7210884355,333.61348822537
2018-07-23 18:00:00+00:00,5050,7692,7941,0,22,86,3440,0,24231,8281732.426303854,341.782527601166
