datetime,COL,NG,NUC,OTH,SUN,WAT,WND,MWh,carbon_footprint,carbon_per_MWh
2018-07-03 05:00:00+00:00,13201,21912,5021,84,0,0,12039,52257,22393718.82086168,428.5305092305658
2018-07-03 06:00:00+00:00,11769,21009,5022,86,0,0,9950,47836,20572816.326530613,430.06974509847424
2018-07-03 07:00:00+00:00,13406,20013,5022,88,0,0,6322,44851,21817328.798185945,486.4401863545059
2018-07-03 08:00:00+00:00,13852,19175,5022,83,0,0,4671,42803,21922544.217687074,512.173077066726
2018-07-03 09:00:00+00:00,13362,18445,5022,82,0,0,4465,41376,21125718.82086168,510.5790511615835
2018-07-03 10:00:00+00:00,12972,18185,5021,85,0,0,4550,40813,20623995.46485261,505.3290732083554
2018-07-03 11:00:00+00:00,12642,18743,5021,91,0,42,4747,41286,20520539.682539683,497.03385366806384
2018-07-03 12:00:00+00:00,11449,20704,5021,99,0,59,5240,42572,20123315.192743763,472.688978500981
2018-07-03 13:00:00+00:00,11960,21352,5022,96,132,72,5088,43722,20907537.414965983,478.1926127571013
2018-07-03 14:00:00+00:00,12851,23066,5023,98,548,100,4709,46395,22516004.53514739,485.31101487546914
2018-07-03 15:00:00+00:00,13240,24853,5023,98,1071,114,5890,50289,23646907.029478457,470.2202674437443
2018-07-03 16:00:00+00:00,14082,27464,5027,97,1142,85,6793,54690,25576009.070294786,467.6542159498041
2018-07-03 17:00:00+00:00,14589,31291,5027,111,1185,25,6563,58791,27668154.195011336,470.61887355226713
2018-07-03 18:00:00+00:00,14873,35034,5023,124,1186,35,5741,62016,29500104.30839002,475.6853764897772
2018-07-03 19:00:00+00:00,14903,38068,5020,125,1205,106,5621,65048,30782571.42857143,473.2285608869055
2018-07-03 20:00:00+00:00,14893,40549,5019,123,1188,132,5677,67581,31796362.81179139,470.49263567853967
2018-07-03 21:00:00+00:00,14856,41322,5017,126,1119,133,6051,68624,32077959.183673467,467.4451967777085
2018-07-03 22:00:00+00:00,14903,41641,5018,131,972,134,6306,69105,32257142.857142854,466.78449977777086
2018-07-03 23:00:00+00:00,14989,40913,5016,131,850,113,6707,68719,32043673.469387755,466.3000548521916
2018-07-04 00:00:00+00:00,15046,40029,5015,132,582,49,6893,67746,31736494.33106576,468.4629990119824
2018-07-04 01:00:00+00:00,15244,38004,5014,131,243,45,6867,65548,31101024.943310663,474.4770998857427
2018-07-04 02:00:00+00:00,15316,35045,5014,111,29,8,6758,62281,29952666.666666668,480.92783781035416
2018-07-04 03:00:00+00:00,15195,30465,5016,99,0,0,8116,58891,27940136.054421768,474.4381323873218
2018-07-04 04:00:00+00:00,14067,25557,5016,103,0,0,10101,54844,24773823.1292517,451.71437402909527
2018-07-04 05:00:00+00:00,12354,21910,5015,102,0,0,11206,50587,21536290.249433108,425.7277610736574
2018-07-04 06:00:00+00:00,11374,18783,5016,101,0,4,12084,47362,19254671.20181406,406.5426122590697
2018-07-04 07:00:00+00:00,10442,16970,5016,101,0,4,11685,44218,17563882.0861678,397.21113768528204
2018-07-04 08:00:00+00:00,9208,16371,5016,101,0,4,11040,41740,16068684.807256235,384.9708866137095
2018-07-04 09:00:00+00:00,8561,16243,5016,101,0,4,10178,40103,15361523.80952381,383.0517370152809
2018-07-04 10:00:00+00:00,8517,16160,5017,101,0,37,9543,39375,15282770.97505669,388.13386603318577
2018-07-04 11:00:00+00:00,8870,16521,5017,101,0,38,8775,39322,15788757.369614512,401.524779248627
2018-07-04 12:00:00+00:00,9415,17121,5017,100,0,63,7487,39203,16587555.555555554,423.1195458397458
2018-07-04 13:00:00+00:00,9471,17946,5018,100,164,76,6368,39143,16984666.666666668,433.9132582241184
2018-07-04 14:00:00+00:00,10228,20562,5019,100,808,104,4655,41476,18829868.480725624,453.99432155284074
2018-07-04 15:00:00+00:00,11142,22584,5021,100,1135,121,4473,44576,20588707.4829932,461.8787572458991
2018-07-04 16:00:00+00:00,13051,25101,5022,100,1175,93,3383,47925,23558113.378684808,491.56209449524897
2018-07-04 17:00:00+00:00,14490,28116,5022,119,1186,63,2093,51089,26257714.285714284,513.9602318642816
2018-07-04 18:00:00+00:00,14923,30574,5023,132,1185,64,1707,53608,27710036.28117914,516.9011394041773
2018-07-04 19:00:00+00:00,15088,31143,5023,128,1190,100,2181,54853,28111732.426303852,512.4921595227946
2018-07-04 20:00:00+00:00,15223,29980,5023,127,1100,161,3508,55122,27768294.7845805,503.76065426835925
2018-07-04 21:00:00+00:00,14982,28246,5024,126,1093,151,5419,55041,26808943.310657594,487.0722427037589
2018-07-04 22:00:00+00:00,14404,26969,5023,127,1048,151,6898,54620,25697374.149659865,470.4755428352227
2018-07-04 23:00:00+00:00,13553,25777,5024,126,978,125,8021,53604,24344789.115646254,454.15993425203817
2018-07-05 00:00:00+00:00,12447,24786,5024,120,794,44,9160,52375,22817265.306122452,435.6518435536506
2018-07-05 01:00:00+00:00,11051,23598,5024,118,531,42,10254,50618,20915151.92743764,413.1959367702722
2018-07-05 02:00:00+00:00,10937,23083,5024,101,69,8,9877,49099,20587319.727891155,419.30222057254025
2018-07-05 03:00:00+00:00,10778,22420,5024,94,0,8,9438,47762,20152897.959183674,421.9441807123587
2018-07-05 04:00:00+00:00,10608,20704,5025,96,0,0,9194,45627,19272780.04535147,422.39858078224455
2018-07-05 05:00:00+00:00,10116,19278,5025,98,0,0,8522,43039,18186693.87755102,422.56311432772645
2018-07-05 06:00:00+00:00,9464,18266,5027,97,0,23,7345,40222,17109650.793650795,425.38040857368594
2018-07-05 07:00:00+00:00,9461,17677,5027,99,0,3,5954,38221,16863537.414965987,441.2113083112945
2018-07-05 08:00:00+00:00,9555,17610,5028,99,0,0,4385,36677,16930952.38095238,461.62315295559563
2018-07-05 09:00:00+00:00,9497,17447,5029,98,0,0,3669,35740,16805024.943310656,470.20215286263726
2018-07-05 10:00:00+00:00,9439,17457,5029,99,0,0,3613,35637,16750494.331065763,470.03098832858444
2018-07-05 11:00:00+00:00,9881,18252,5031,98,0,0,3373,36635,17525600.90702948,478.38408371856093
2018-07-05 12:00:00+00:00,10294,19394,5031,97,0,44,3044,37904,18414585.034013607,485.82168198642904
2018-07-05 13:00:00+00:00,10797,20495,5031,98,105,68,2670,39264,19377668.934240364,493.522538056244
2018-07-05 14:00:00+00:00,11635,21781,5031,98,558,69,2970,42142,20755900.226757366,492.52290415161514
2018-07-05 15:00:00+00:00,12694,23891,5030,100,639,69,3523,45946,22697700.68027211,494.0081983256891
2018-07-05 16:00:00+00:00,13767,26633,5029,65,644,68,3423,49629,24914485.260770973,502.01465394771145
2018-07-05 17:00:00+00:00,14103,29427,5028,28,760,33,3807,53186,26407374.14965986,496.5098738325849
2018-07-05 18:00:00+00:00,14396,31645,5026,26,863,38,4243,56237,27619061.224489793,491.1190359459038
2018-07-05 19:00:00+00:00,14491,33772,5024,29,931,111,4625,58983,28592947.84580499,484.7659129885728
2018-07-05 20:00:00+00:00,14460,34865,5023,26,961,114,5103,60552,29012675.73696145,479.13653945305606
2018-07-05 21:00:00+00:00,14439,35658,5024,30,949,130,5554,61784,29318707.482993197,474.53559955640935
2018-07-05 22:00:00+00:00,14474,36906,5025,35,789,141,5491,62861,29869151.927437637,475.16189572926993
2018-07-05 23:00:00+00:00,14473,37022,5024,28,698,86,5515,62846,29916013.605442178,476.0209656213948
2018-07-06 00:00:00+00:00,14450,35838,5023,29,488,48,5860,61736,29404117.9138322,476.28803151859853
2018-07-06 01:00:00+00:00,14506,34698,5023,27,236,48,5097,59635,28990276.64399093,486.12855946995774
2018-07-06 02:00:00+00:00,14582,34070,5023,31,45,48,3702,57501,28807963.718820862,500.99935164294294
2018-07-06 03:00:00+00:00,14542,33299,5023,28,0,33,2401,55326,28449319.727891155,514.2124810738379
2018-07-06 04:00:00+00:00,14517,29945,5024,29,0,25,2187,51727,27039845.80498866,522.7414272041422
2018-07-06 05:00:00+00:00,14500,26155,5024,31,0,6,2053,47769,25458526.077097505,532.9507855952083
2018-07-06 06:00:00+00:00,14118,22885,5024,28,0,25,2130,44210,23722671.201814063,536.5906175483841
2018-07-06 07:00:00+00:00,13378,21260,5024,28,0,0,2013,41703,22303646.2585034,534.821146164626
2018-07-06 08:00:00+00:00,12360,20739,5025,28,0,0,1738,39890,21059088.43537415,527.9290156774667
2018-07-06 09:00:00+00:00,11468,20624,5026,29,0,0,1517,38664,20109514.73922902,520.1095266715555
2018-07-06 10:00:00+00:00,11310,20712,5026,30,0,0,1220,38298,19986040.81632653,521.8559929063274
2018-07-06 11:00:00+00:00,12050,21143,5027,30,0,0,754,39004,20912303.854875285,536.1579287989766
2018-07-06 12:00:00+00:00,12676,21934,5027,33,0,43,554,40267,21871845.80498866,543.170482156323
2018-07-06 13:00:00+00:00,12929,22881,5027,30,114,67,536,41584,22518539.682539683,541.5193267251751
2018-07-06 14:00:00+00:00,13783,25135,5027,33,619,66,276,44939,24312444.444444444,541.0099122019725
2018-07-06 15:00:00+00:00,14284,27999,5027,27,865,67,407,48676,26001092.97052154,534.1665907330417
2018-07-06 16:00:00+00:00,14469,31059,5026,29,961,67,995,52606,27451047.61904762,521.8235109882451
2018-07-06 17:00:00+00:00,14549,34197,5024,28,907,34,1658,56397,28827002.267573696,511.1442500057396
2018-07-06 18:00:00+00:00,14586,36755,5024,19,886,38,1939,59247,29920104.30839002,505.00623336860974
2018-07-06 19:00:00+00:00,13933,38860,5023,17,900,107,2535,61375,30128430.839002267,490.89093016704305
2018-07-06 20:00:00+00:00,13779,39295,5021,15,844,112,3222,62288,30152208.616780043,484.07732816561844
2018-07-06 21:00:00+00:00,13728,38743,5020,14,841,86,3428,61860,29872820.861678008,482.9101335544457
2018-07-06 22:00:00+00:00,13632,37300,5018,16,921,85,3533,60505,29180208.616780043,482.2776401418072
2018-07-06 23:00:00+00:00,13264,35052,5019,17,868,84,4785,59089,27880290.249433104,471.8355404463285
2018-07-07 00:00:00+00:00,13057,32623,5019,16,732,18,5664,57129,26668498.86621315,466.8119320522528
2018-07-07 01:00:00+00:00,12869,30337,5020,18,274,11,5992,54521,25534938.775510203,468.35052136810043
2018-07-07 02:00:00+00:00,12696,29536,5020,15,29,11,5288,52595,25029405.89569161,475.8894551894973
2018-07-07 03:00:00+00:00,12651,28182,5021,17,0,3,5291,51165,24425102.04081633,477.37910760903605
2018-07-07 04:00:00+00:00,12496,26592,5022,19,0,3,4122,48254,23612154.195011336,489.3305051397052
2018-07-07 05:00:00+00:00,12436,24311,5023,15,0,3,3156,44944,22610108.843537413,503.0729094770695
2018-07-07 06:00:00+00:00,11791,22127,5023,17,0,29,2684,41671,21056462.585034013,505.30255057555644
2018-07-07 07:00:00+00:00,11487,21132,5024,23,0,5,2095,39766,20338380.95238095,511.45151517328753
2018-07-07 08:00:00+00:00,11058,20755,5024,27,0,3,1261,38128,19748929.70521542,517.9639557599512
2018-07-07 09:00:00+00:00,9885,20476,5025,26,0,4,833,36249,18447487.528344672,508.9102465818277
2018-07-07 10:00:00+00:00,9468,20405,5026,27,0,4,799,35729,17996458.04988662,503.6933037556781
2018-07-07 11:00:00+00:00,9314,20472,5026,27,0,37,791,35667,17868362.811791386,500.977452877769
2018-07-07 12:00:00+00:00,9360,20731,5027,29,0,45,638,35830,18021773.24263038,502.97999560788116
2018-07-07 13:00:00+00:00,9526,21473,5028,30,90,69,688,36904,18495877.551020406,501.1889646385326
2018-07-07 14:00:00+00:00,10803,23302,5028,30,330,70,424,39987,20542181.405895688,513.7214946331479
2018-07-07 15:00:00+00:00,11991,25813,5027,30,502,70,338,43771,22779936.507936507,520.4344545003886
2018-07-07 16:00:00+00:00,12570,29133,5027,30,878,70,353,48061,24735659.86394558,514.6721845976068
