,0
0,23417.830579666806
1,46799.42547721643
2,70000.3902483085
3,92999.05176422877
4,111173.09557030746
5,125345.0378433674
6,138041.98011017384
7,148296.1518324136
8,156548.5763389722
9,162411.6939369775
10,165102.49803329023
11,166751.70895455903
12,167133.80970855878
13,167405.0976105156
14,167665.18858922523
15,167955.92236088624
16,167955.92236088624
17,167955.92236088624
18,167955.92236088624
19,167955.92236088624
20,167955.92236088624
21,167955.92236088624
22,167955.92236088624
23,167955.92236088624
