,0
0,18607.414630720243
1,37110.32240371285
2,55522.165953520445
3,73901.28041357492
4,90297.73359906484
5,104520.89009021182
6,117656.37122855481
7,127516.23926141535
8,135921.95830346827
9,142922.89511252567
10,146107.72923519535
11,148338.8531546319
12,149842.64524643795
13,150999.3739436821
14,152143.8988662417
15,153273.50348015595
16,153273.50348015595
17,153273.50348015595
18,153273.50348015595
19,153273.50348015595
20,153273.50348015595
21,153273.50348015595
22,153273.50348015595
23,153273.50348015595
