,0
0,18639.366140308903
1,37176.641135031314
2,55624.97805506969
3,74042.83494064206
4,90540.26532336723
5,104937.53201987196
6,118329.35620762559
7,128370.4775836556
8,136689.7544027788
9,143657.40830599854
10,146899.7177704437
11,149203.33254598238
12,150787.40296707617
13,151975.45578289652
14,153163.50859871687
15,154351.56141453722
16,154351.56141453722
17,154351.56141453722
18,154351.56141453722
19,154351.56141453722
20,154351.56141453722
21,154351.56141453722
22,154351.56141453722
23,154351.56141453722
