,0
0,4522.9794575875385
1,9018.386755722477
2,13384.87902176679
3,17448.881936773418
4,20421.251895794125
5,22821.598031437486
6,25163.288354325356
7,27393.710240877812
8,29419.66115635604
9,30869.716771310123
10,31557.271544390067
11,31949.502356875895
12,31949.502356875895
13,31949.502356875895
14,31949.502356875895
15,31949.502356875895
16,31949.502356875895
17,31949.502356875895
18,31949.502356875895
19,31949.502356875895
20,31949.502356875895
21,31949.502356875895
22,31949.502356875895
23,31949.502356875895
