,0
0,3588.113793725043
1,7162.573352327993
2,10725.198511796849
3,14288.025019176537
4,16395.517363165014
5,17377.23890503273
6,18353.605452612504
7,18847.654088621377
8,19347.08242647129
9,19798.485400064725
10,19798.485400064725
11,19798.485400064725
12,19798.485400064725
13,19798.485400064725
14,19798.485400064725
15,19798.485400064725
16,19798.485400064725
17,19798.485400064725
18,19798.485400064725
19,19798.485400064725
20,19798.485400064725
21,19798.485400064725
22,19798.485400064725
23,19798.485400064725
