,0
0,18129.1160590277
1,36130.677211280024
2,53472.49367544385
3,70214.74418674382
4,85851.90552065644
5,99643.76798570793
6,111877.48118491031
7,123862.91642972227
8,135274.14619064148
9,146440.4998986909
10,158365.0532559079
11,170091.4781921985
12,181781.54870877415
13,192267.13701965066
14,202788.11699092828
15,215127.77686478005
16,229003.44940247608
17,243515.70510996936
18,258441.4796092959
19,272755.812114197
20,285423.2881096188
21,297006.6510919241
22,308096.6300223571
23,318708.2387751028
24,328961.2211581096
25,338650.68258015206
26,348201.65838095127
27,356782.46068114333
28,365324.8714231575
29,373969.0561817613
30,382714.64153068245
31,391771.010176466
32,401265.58111989393
33,410888.1047168996
34,420128.4928255225
35,429575.0225908846
36,439027.5362647483
37,448510.2100579706
38,458017.6967883357
39,466687.3195881009
40,475180.90182482055
41,483837.87218426703
42,492016.3952264455
43,500242.8357210724
44,507231.0951730184
45,514058.2047965273
46,520777.9748453451
47,527966.7326338316
48,535638.248624063
49,540974.7381612337
50,544913.1991414651
51,549383.1276710745
52,553585.2150777319
53,557511.5339142677
54,562811.9700635774
55,567561.6488235232
56,572538.2045702707
57,576743.9895857289
58,580262.2768360338
59,583441.6282384478
60,584527.3677210015
61,585639.7893077285
62,586767.5621407427
63,587901.8656214201
64,588477.2026382885
65,588477.2026382885
66,588477.2026382885
67,588477.2026382885
68,588477.2026382885
69,588477.2026382885
70,588477.2026382885
71,588477.2026382885
72,588477.2026382885
73,588477.2026382885
74,588477.2026382885
75,588477.2026382885
76,588477.2026382885
77,588477.2026382885
78,588477.2026382885
79,588477.2026382885
80,588477.2026382885
81,588477.2026382885
82,588477.2026382885
83,588477.2026382885
84,588477.2026382885
85,588477.2026382885
86,588477.2026382885
87,588477.2026382885
88,588477.2026382885
89,588477.2026382885
90,588477.2026382885
91,588477.2026382885
92,588477.2026382885
93,588477.2026382885
94,588477.2026382885
95,588477.2026382885
