,0
0,3588.1137937250423
1,7162.573352327992
2,10725.198511796849
3,14288.025019176537
4,16749.623851885004
5,18222.206164686577
6,19361.300470196315
7,20184.71486354444
8,21017.095426627628
9,21618.96605808553
10,21739.886993843906
11,21739.886993843906
12,21739.886993843906
13,21739.886993843906
14,21739.886993843906
15,21739.886993843906
16,21739.886993843906
17,21739.886993843906
18,21739.886993843906
19,21739.886993843906
20,21739.886993843906
21,21739.886993843906
22,21739.886993843906
23,21739.886993843906
